καί,"and, even, also, namely"
ὁ,the
δέ,"but, on the other hand, and"
ἐν,"in, on, among"
τοῦ,the
εἰς,"into, in, among, till, for"
τό,the
οὐ,"no, not"
τόν,the
τήν,the
αὐτοῦ,"he, she, it, they, them, same"
τῆς,the
ὅτι,"that, since, because"
τῷ,the
τῶν,the
οἱ,the
γάρ,for
μή,"not, lest"
ἡ,the
αὐτόν,"he, she, it, they, them, same"
ἐκ,"from out, out from among, from"
ἐστί(ν),"I am, exist"
ἐπί,"on, to, against, on the basis of, at"
τῇ,the
αὐτῷ,"he, she, it, they, them, same"
τά,the
τούς,the
πρός,"to, towards, with"
θεοῦ,"God, a god"
διά,"through, on account of"
ἵνα,"in order that, so that"
ἀπό,"from, away from"
ἀλλά,"but, except"
τοῖς,the
εἶπε(ν),"I say, speak"
ὑμῖν,you
αὐτῶν,"he, she, it, they, them, same"
ὑμῶν,you
αὐτοῖς,"he, she, it, they, them, same"
μου,I
ὡς,"as, like as, how, while, so that"
εἰ,if
οὖν,"therefore, then"
μετά,"with, after"
κατά,"down from, against, according to, throughout, during"
Ἰησοῦς,Jesus
ὑμᾶς,you
σου,you
ἡμῶν,I
αὐτούς,"he, she, it, they, them, same"
ἤ,"or, than"
ἐγώ,I
τί,"who, which, what"
τάς,the
λέγει,"I say, speak"
τοῦτο,"this, he, she, it"
περί,"about, concerning, around"
ἐάν,if
Ἰησοῦ,Jesus
ἦν,"I am, exist"
θεός,"God, a god"
με,I
πάντα,"all, the whole, every kind of"
ὅ,"who, which, what, that"
Χριστοῦ,"anointed, the Messiah, the Christ"
ταῦτα,"this, he, she, it"
κυρίου,"lord, Lord, master, sir"
ὑμεῖς,you
τις,"any one, some one"
μοι,I
ὑπό,"by, under, about"
ὅς,"who, which, what, that"
τέ,"and, both"
λέγω,"I say, speak"
οὕτω(ς),"thus, so, in this manner"
ταῖς,the
ἐγένετο,"I come into being, am born"
ἰδού,See! Lo! Behold! Look!
παρά,"from, in the presence of"
οὗτος,"this, he, she, it"
καθώς,"just as, as"
πάντες,"all, the whole, every kind of"
μέν,"truly, indeed"
λέγων,"I say, speak"
κύριος,"lord, Lord, master, sir"
σύ,you
ἄν,an untranslatable word that makes a statement contingent
αὐτῆς,"he, she, it, they, them, same"
ἡμῖν,I
αὐτός,"he, she, it, they, them, same"
ὅν,"who, which, what, that"
ἡμᾶς,I
σοι,you
τότε,then
υἱός,"a son, descendent"
πνεῦμα,"wind, breath, spirit"
θεῷ,"God, a god"
σε,you
εἰσί(ν),"I am, exist"
λέγοντες,"I say, speak"
ὑπέρ,"in behalf of, above"
τίς,"who, which, what"
θεόν,"God, a god"
αἱ,the
ἕως,"until, as far as"
νῦν,"now, already, at present"
ἀδελφοί,a brother
οὐδέ,"neither, nor, not even"
πάλιν,"again, further, on the other hand"
εἰμί,"I am, exist"
γῆς,"the earth, soil, land"
πάντων,"all, the whole, every kind of"
αὐτήν,"he, she, it, they, them, same"
λόγον,"a word, speech, divine utterance, analogy"
σύν,with
ἀνθρώπου,"a man, one of the human race"
ἀμήν,"verily, truly, amen, so let it be"
Ἰησοῦν,Jesus
ἡμεῖς,I
ἡμέρας,a day
δύο,two
εἶναι,"I am, exist"
ὅταν,"when, whensoever"
ἄνθρωπος,"a man, one of the human race"
ἔσται,"I am, exist"
ᾧ,"who, which, what, that"
κύριε,"lord, Lord, master, sir"
ἅ,"who, which, what, that"
οὗ,"who, which, what, that"
Χριστός,"anointed, the Messiah, the Christ"
πατήρ,"father, Father, ancestor"
ἐμοῦ,I
μαθηταί,"a learner, disciple, pupil"
αὐτῇ,"he, she, it, they, them, same"
ὄνομα,"name, character, reputation"
αὐτό,"he, she, it, they, them, same"
πῶς,"how, in what manner"
Χριστῷ,"anointed, the Messiah, the Christ"
ἔχει,"I have, hold, possess"
ὅτε,when
πατρός,"father, Father, ancestor"
Πέτρος,Peter
κυρίῳ,"lord, Lord, master, sir"
τι,"any one, some one"
ἀνθρώπων,"a man, one of the human race"
ἥν,"who, which, what, that"
οὐδείς,"no one, none, nothing"
εἷς,one
ἦσαν,"I am, exist"
πᾶς,"all, the whole, every kind of"
ἐκεῖ,"there, yonder, thither"
εἶπαν,"I say, speak"
ὀνόματι,"name, character, reputation"
πνεύματος,"wind, breath, spirit"
ἀποκριθείς,"I answer, reply"
ἐνώπιον,"before the face of, in the presence of"
ἔτι,"still, yet, even now"
πίστεως,"faith, belief, trust"
πατέρα,"father, Father, ancestor"
ἐστέ,"I am, exist"
οὐρανοῦ,"the sky, the heaven"
εἶ,"I am, exist"
ἐμέ,I
ἐμοί,I
πνεύματι,"wind, breath, spirit"
πάντας,"all, the whole, every kind of"
τούτῳ,"this, he, she, it"
ἦλθε(ν),"I come, go"
ἔρχεται,"I come, go"
ἑπτά,seven
πᾶσι(ν),"all, the whole, every kind of"
οὔτε,"and not, neither, nor"
αὐτοί,"he, she, it, they, them, same"
ἔχων,"I have, hold, possess"
οὐδέν,"no one, none, nothing"
υἱόν,"a son, descendent"
ἡμέρᾳ,a day
πολλοί,"much, many, often"
ὥστε,"so that, therefore"
ἀπεκρίθη,"I answer, reply"
ὅπου,"where, whither"
μᾶλλον,"more, rather"
ὧν,"who, which, what, that"
Παῦλος,Paul
ἔλεγον,"I say, speak"
δεῖ,I bind
Ἰερουσαλήμ,Jerusalem
εἶδον,"I see, look upon, experience"
γῆν,"the earth, soil, land"
νεκρῶν,"dead, a corpse"
πᾶν,"all, the whole, every kind of"
δώδεκα,twelve
ἐποίησε(ν),"I do, make"
κἀγώ,"I also, I too"
οὗτοι,"this, he, she, it"
Ἀβραάμ,Abraham
τούτων,"this, he, she, it"
αὕτη,"this, he, she, it"
μόνον,"only, solitary, desolate"
γυνή,"a woman, wife, my lady"
κόσμου,"the world, universe"
ἔλεγε(ν),"I say, speak"
δύναται,"I am powerful, am able"
ἕν,one
σῶμα,"body, flesh"
τούτου,"this, he, she, it"
Ἰουδαίων,Jewish
λόγος,"a word, speech, divine utterance, analogy"
Ἰσραήλ,Israel
νόμου,"a law, the Mosaic Law"
κύριον,"lord, Lord, master, sir"
ἀλλήλους,one another
γέγραπται,I write
ἐξῆλθε(ν),"I go out, come out"
Χριστόν,"anointed, the Messiah, the Christ"
ἑαυτόν,"himself, herself, itself"
ἑαυτούς,"himself, herself, itself"
εἴτε,"and if, whether"
ἔδωκε(ν),"I offer, give"
πρῶτον,"first, before"
πολλά,"much, many, often"
τέκνα,"a child, descendent, inhabitant"
πόλιν,a city
ἄνδρες,"a male human being, a man"
οἴδατε,"I know, remember"
ἦλθον,"I come, go"
ἄνθρωπον,"a man, one of the human race"
ἔξω,"without, outside"
ὧδε,here
χάρις,"grace, favor, kindness"
ἤδη,"now, already"
οἵτινες,"whosoever, whichsoever, whatsoever"
ἰδών,"I see, look upon, experience"
βασιλείαν,"kingship, sovereignty, authority, rule, kingdom"
ζωήν,life
χεῖρας,a hand
τοῦτον,"this, he, she, it"
σοῦ,you
παντί,"all, the whole, every kind of"
Δαυίδ,David
νόμον,"a law, the Mosaic Law"
λέγουσι(ν),"I say, speak"
ἔργα,"work, labor, action, deed"
ἐκεῖνος,"that, that one there, yonder"
εἶπον,"I say, speak"
ἡμέραν,a day
ἁμαρτίας,a sin
πίστει,"faith, belief, trust"
δόξαν,"honor, renown, glory splendor"
καρδίας,"the heart, inner life, intention"
ὅσα,"how much, how great, how many"
οἶκον,"a house, household"
μηδέ,"and not, not even"
Ἰουδαῖοι,Jewish
τινες,"any one, some one"
ἐξουσίαν,"power, authority, weight"
οἶδα,"I know, remember"
αὐτά,"he, she, it, they, them, same"
πᾶσαν,"all, the whole, every kind of"
πόδας,the foot
πίστιν,"faith, belief, trust"
βασιλεία,"kingship, sovereignty, authority, rule, kingdom"
Ἰωάννης,John
καλόν,"beautiful, good, worthy"
θανάτου,death
διό,wherefore
οὐχί,"by no means, not at all"
ὅπως,"how, in order that, so that"
ταύτην,"this, he, she, it"
ἐσμέν,"I am, exist"
οὕς,"who, which, what, that"
